headline,web_url,snippet,source,keywords,pub_date,word_count,byline.original,byline.person,byline.organization,title,id,genres,languages,countries,release_date,runtime,overview
‘I Love America’ Review: The Gauche Rituals of Modern Romance,https://www.nytimes.com/2022/04/28/movies/i-love-america-review.html,The determinedly uplifting comedy follows a 50-year-old French filmmaker as she dates in Los Angeles.,The New York Times,"subject: Movies;persons: Marceau, Sophie;creative_works: I Love America (Movie);persons: Azuelos, Lisa;",2022-04-28T11:00:07+0000,291,By Nicolas Rapold,"firstname Nicolas, middlename None, lastname Rapold, qualifier None, title None, role reported, organization , rank 1",,I Love America,846238,"Comedy, Romance","French, English, Spanish","United States of America, France",2022-03-11,102,"A single woman who decides to take a chance on love again by catapulting her life from Paris to Los Angeles. From awkward dates to touching surprise encounters, she understands the journey to love is a journey towards herself."
‘See You Then’ Review: The More Things Stay the Same,https://www.nytimes.com/2022/04/18/movies/see-you-then-review.html,"Former lovers reconnect, litigating the past and present, in this drama from Mari Walker.",The New York Times,"subject: Movies;creative_works: See You Then (Movie);persons: Walker, Mari;",2022-04-18T11:00:03+0000,300,By Kyle Turner,"firstname Kyle, middlename None, lastname Turner, qualifier None, title None, role reported, organization , rank 1",,See You Then,794903,Drama,English,United States of America,2022-04-01,74,"A decade after abruptly breaking up with Naomi, Kris invites her to a dinner to catch-up on their complicated lives, relationships, and Kris' transition."
‘La Mami’ Review: Tough Love,https://www.nytimes.com/2022/04/07/movies/la-mami-review-tough-love.html,This documentary about the den mother of dancers at a Mexico City cabaret is vérité at its best.,The New York Times,"subject: Documentary Films and Programs;subject: Women and Girls;subject: Dancing;subject: Bars and Nightclubs;subject: Labor and Jobs;subject: Content Type: Personal Profile;glocations: Mexico City (Mexico);glocations: Mexico;creative_works: La Mami (Movie);persons: Garvin, Laura Herrero;",2022-04-07T11:00:04+0000,278,By Beandrea July,"firstname Beandrea, middlename None, lastname July, qualifier None, title None, role reported, organization , rank 1",,La Mami,640235,Documentary,Spanish,"Mexico, Spain",2020-01-27,82,"One of the rooms inside the legendary Barba Azul Cabaret has become a shelter for the girls working there: the women's bathroom. Every night La Mami, who's in charge of the bathrooms, offers them the warmth and the advice they need to take on the challenge they face in the dance hall."
‘Love After Love’ Review: Elegance Without a Center,https://www.nytimes.com/2022/03/17/movies/love-after-love-review.html,Ann Hui’s World War II-era film is lovely to look at but lacks emotional depth and resonance.,The New York Times,"subject: Movies;organizations: MUBI Inc;persons: Hui, Ann;persons: Peng, Eddie (1982- );glocations: Hong Kong;creative_works: Love After Love (Movie);",2022-03-17T11:00:12+0000,292,By Claire Shaffer,"firstname Claire, middlename None, lastname Shaffer, qualifier None, title None, role reported, organization , rank 1",,Love After Love,377278,Drama,French,"Belgium, France",2016-06-08,98,Marie and Boris decide to get a divorce after 15 years of marriage. Tensions rise when cash-strapped Boris must continue to live with Marie and the two children while trying to figure out how to divide the assets.
‘Deep Water’ Review: Love and Loathing in New Orleans,https://www.nytimes.com/2022/03/17/movies/deep-water-review.html,An unhappy husband raises suspicions when his wife’s lovers begin to disappear.,The New York Times,"subject: Movies;creative_works: Deep Water (Movie);persons: Affleck, Ben;persons: Lyne, Adrian;persons: de Armas, Ana;",2022-03-17T11:00:05+0000,534,By Jeannette Catsoulis,"firstname Jeannette, middlename None, lastname Catsoulis, qualifier None, title None, role reported, organization , rank 1",,Deep Water,619979,"Drama, Mystery, Thriller",English,United States of America,2022-03-18,116,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.
‘Lucy and Desi’ Review: Love in the Time of Television,https://www.nytimes.com/2022/03/03/movies/lucy-and-desi-review.html,"This documentary, directed by Amy Poehler and about the dynamic duo behind “I Love Lucy,” favors the good times over the difficult ones.",The New York Times,"subject: Documentary Films and Programs;persons: Ball, Lucille;persons: ARNAZ, DESI;persons: Poehler, Amy;creative_works: Lucy and Desi (Movie);subject: Television;subject: Actors and Actresses;subject: Content Type: Personal Profile;",2022-03-03T16:06:54+0000,279,By Natalia Winkelman,"firstname Natalia, middlename None, lastname Winkelman, qualifier None, title None, role reported, organization , rank 1",,Lucy and Desi,736280,Documentary,English,United States of America,2022-01-21,102,Explore the unlikely partnership and enduring legacy of one of the most prolific power couples in entertainment history. Lucille Ball and Desi Arnaz risked everything to be together.
‘Cyrano’ Review: Who Wrote the Book of Love?,https://www.nytimes.com/2022/02/23/movies/cyrano-review.html,Peter Dinklage wields pen and sword in a musical adaptation of the durable French romance.,The New York Times,"subject: Movies;creative_works: Cyrano (Movie);persons: Wright, Joe;persons: Dinklage, Peter;persons: Bennett, Haley;persons: Harrison, Kelvin Jr;persons: Berninger, Matt;persons: Besser, Carin;persons: Dessner, Aaron;persons: Schmidt, Erica (1975- );organizations: National, The (Music Group);",2022-02-24T00:36:54+0000,845,By A.O. Scott,"firstname A., middlename O., lastname Scott, qualifier None, title None, role reported, organization , rank 1",,Cyrano,730047,"Drama, Romance",English,"Canada, United Kingdom, United States of America",2021-12-17,124,"A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian."
‘The In Between’ Review: Love Never Dies,https://www.nytimes.com/2022/02/11/movies/the-in-between-review.html,A teenage girl thinks that her dead boyfriend’s spirit is reaching out from the Great Beyond.,The New York Times,"persons: King, Joey;persons: Allen, Kyle (1994- );subject: Movies;persons: Posin, Arie;creative_works: The In Between (Movie);",2022-02-11T08:00:06+0000,285,By Lena Wilson,"firstname Lena, middlename None, lastname Wilson, qualifier None, title None, role reported, organization , rank 1",,The In Between,818750,"Romance, Science Fiction, Drama",English,United States of America,2022-02-11,116,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world."
‘Book of Love’ Review: Lust (Eventually) in Translation,https://www.nytimes.com/2022/02/04/movies/book-of-love-review.html,"Unbeknown to the author of an uninspired romance novel, the book takes a sharp turn into erotic territory in its Spanish-language release.",The New York Times,"subject: Movies;persons: Claflin, Sam;persons: Cal y Mayor, Analeine;creative_works: Book of Love (Movie);",2022-02-04T05:01:04+0000,269,By Natalia Winkelman,"firstname Natalia, middlename None, lastname Winkelman, qualifier None, title None, role reported, organization , rank 1",,Book of Love,120515,Drama,English,United States of America,2004-01-18,83,"Living among fusty academics, an unusual young man gets between a high school history teacher and his wife."
"‘Lingui, the Sacred Bonds’ Review: Love, Ferocious and Limitless",https://www.nytimes.com/2022/02/03/movies/lingui-the-sacred-bonds-review.html,"In this electric liberation story from Chad, a mother struggles to protect her daughter’s future and finds both herself and a world of possibility.",The New York Times,"subject: Movies;persons: Haroun, Mahamat-Saleh;creative_works: Lingui, the Sacred Bonds (Movie);",2022-02-03T19:21:56+0000,852,By Manohla Dargis,"firstname Manohla, middlename None, lastname Dargis, qualifier None, title None, role reported, organization , rank 1",,"Lingui, the Sacred Bonds",820693,Drama,"Arabic, French","Germany, Belgium, Chad, France",2021-12-08,88,"On the outskirts of the capital of Chad, determined single mother Amina works tirelessly to provide for herself and her 15-year old daughter Maria. When Amina discovers Maria is pregnant and does not want a child, the two women begin to seek out an abortion, condemned by both religion and law. In the process, mother and daughter forge a connection stronger than any they’ve ever known."
‘The Pink Cloud’ Review: Love in Lockdown,https://www.nytimes.com/2022/01/13/movies/the-pink-cloud-review.html,Iuli Gerbase’s first feature film reflects a funhouse-mirror image of our present lives.,The New York Times,"subject: Movies;creative_works: The Pink Cloud (Movie);persons: Gerbase, Iuli;",2022-01-13T12:00:05+0000,316,By Claire Shaffer,"firstname Claire, middlename None, lastname Shaffer, qualifier None, title None, role reported, organization , rank 1",,The Pink Cloud,776490,"Drama, Science Fiction",Portuguese,Brazil,2021-04-01,105,"Giovana and Yago are strangers who share a spark after meeting at a party. When a deadly cloud mysteriously takes over their city, they are forced to seek shelter with only each other for company. As months pass and the planet settles into an extended quarantine, their world shrinks, and they are forced to come to terms with an accelerated timeline for their relationship. With all their other interactions governed by screens, and with the strain of isolation setting in, Giovana and Yago struggle to reinvent themselves and reconcile the differences that threaten to tear them apart."
‘A Journal for Jordan’ Review: Reflections on Love Built and Lost,https://www.nytimes.com/2021/12/23/movies/a-journal-for-jordan-review.html,The actors Michael B. Jordan and Chanté Adams bring a compelling chemistry to the screen as opposites who fall for each other.,The New York Times,"subject: Movies;creative_works: A Journal for Jordan (Movie);persons: Washington, Denzel;persons: Jordan, Michael B;persons: Adams, Chante;subject: Books and Literature;creative_works: A Journal for Jordan: A Story of Love and Honor (Book);persons: Canedy, Dana;subject: Black People;subject: Blacks;",2021-12-23T18:54:12+0000,505,By Lisa Kennedy,"firstname Lisa, middlename None, lastname Kennedy, qualifier None, title None, role reported, organization , rank 1",,A Journal for Jordan,501841,"Drama, Romance",English,"Canada, United States of America",2021-12-22,131,"Based on the true story of First Sergeant Charles Monroe King, a soldier deployed to Iraq begins to keep a journal of love and advice for his infant son. Back at home, senior New York Times editor Dana Canedy revisits the story of her unlikely, life-altering relationship with King and his enduring devotion to her and their child."
"‘West Side Story’ Review: In Love and War, 1957 Might Be Tonight",https://www.nytimes.com/2021/12/08/movies/west-side-story-review.html,"Steven Spielberg rediscovers the breathing, troubling essence of a classic, building a bold and current screen musical with no pretense to perfection.",The New York Times,"subject: Movies;subject: Theater;persons: Alvarez, David (1994- );persons: Bernstein, Leonard;persons: DeBose, Ariana;persons: Kushner, Tony;persons: Laurents, Arthur;persons: Peck, Justin;persons: Robbins, Jerome;persons: Sondheim, Stephen;persons: Spielberg, Steven;persons: Tesori, Jeanine;glocations: New York City;creative_works: West Side Story (2021) (Movie);",2021-12-08T14:55:30+0000,1316,By A.O. Scott,"firstname A., middlename O., lastname Scott, qualifier None, title None, role reported, organization , rank 1",,West Side Story,511809,"Drama, Romance, Crime","English, Spanish",United States of America,2021-12-08,156,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."
‘Love Is Love Is Love’ Review: Aging Too Gracefully,https://www.nytimes.com/2021/11/11/movies/love-is-love-is-love-review.html,"The characters in this idle drama, directed by Eleanor Coppola, seem mostly content. That’s the problem.",The New York Times,"subject: Movies;persons: Coppola, Eleanor;persons: Arquette, Rosanna;persons: Shepherd, Cybill;persons: Wilson, Rita;creative_works: Love Is Love Is Love (Movie);",2021-11-11T12:00:06+0000,292,By Teo Bugbee,"firstname Teo, middlename None, lastname Bugbee, qualifier None, title None, role reported, organization , rank 1",,Love Is Love Is Love,238675,Drama,Japanese,Japan,1974-11-23,93,A youthful film depicting the sexual awakening of a boy who has just entered adolescence and his heartbreaking romance during the summer holidays with a young sprightly girl.
"‘Love Hard’ Review: Seeking Connection, Not Perfection",https://www.nytimes.com/2021/11/05/movies/love-hard-review.html,"When a perennially single journalist travels across the country to meet her dream guy, she finds she’s been catfished.",The New York Times,"subject: Movies;creative_works: Love Hard (Movie);persons: Jimenez, Hernan;",2021-11-05T07:01:03+0000,343,By Concepción de León,"firstname Concepción, middlename None, lastname de León, qualifier None, title None, role reported, organization , rank 1",,Love Hard,734265,"Comedy, Romance",English,United States of America,2021-11-05,105,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for Christmas, only to discover that she's been catfished. But the object of her affection actually lives in the same town, and the guy who duped her offers to set them up if she pretends to be his own girlfriend for the holidays."
‘Bergman Island’ Review: Love Among the Cinephiles,https://www.nytimes.com/2021/10/14/movies/bergman-island-review.html,"In Mia Hansen-Love’s new film, Vicky Krieps and Tim Roth play filmmakers on the rocks in the Baltic Sea.",The New York Times,"subject: Movies;persons: Bergman, Ingmar;persons: Roth, Tim;persons: Wasikowska, Mia;persons: Hansen-Love, Mia;creative_works: Bergman Island (Movie);persons: Krieps, Vicky;",2021-10-14T16:00:06+0000,888,By A.O. Scott,"firstname A., middlename O., lastname Scott, qualifier None, title None, role reported, organization , rank 1",,Bergman Island,477044,"Drama, Romance","German, English, Swedish","Belgium, France, Germany, Mexico, Sweden",2021-07-14,113,"An English-German filmmaking couple retreat to Fårö for the summer to each write screenplays for their upcoming films in an act of pilgrimage to the place that inspired Ingmar Bergman. As the summer and their screenplays advance, the lines between reality and fiction start to blur against the backdrop of the Island's wild landscape."
‘Hard Luck Love Song’ Review: A Glossy Take on a Gritty Tune,https://www.nytimes.com/2021/10/14/movies/hard-luck-love-song-review.html,"Drawn from the plotline of a Todd Snider song, the film follows a pool shark and an escort, taking twists that are both violent and silly.",The New York Times,"subject: Movies;persons: Dorman, Michael (1981- );creative_works: Hard Luck Love Song (Movie);persons: Bush, Sophia (1982- );",2021-10-14T12:27:03+0000,320,By Glenn Kenny,"firstname Glenn, middlename None, lastname Kenny, qualifier None, title None, role reported, organization , rank 1",,Hard Luck Love Song,536208,"Romance, Music, Drama, Thriller","English, Spanish",United States of America,2021-10-15,104,"Jesse, a charismatic but down on his luck troubadour, finds himself at an existential crossroads as bad choices catch up with him during an unexpected reunion with Carla, an old flame."
‘South of Heaven’ Review: Anything for Love,https://www.nytimes.com/2021/10/07/movies/south-of-heaven-review.html,Jason Sudeikis plays a paroled felon who vows to give his dying lover the best year of her life.,The New York Times,"subject: Movies;persons: Sudeikis, Jason;persons: Lilly, Evangeline (1979- );persons: Keshales, Aharon;creative_works: South of Heaven (Movie);",2021-10-07T17:17:19+0000,323,By Amy Nicholson,"firstname Amy, middlename None, lastname Nicholson, qualifier None, title None, role reported, organization , rank 1",,South of Heaven,645861,"Crime, Drama, Thriller",English,"United Kingdom, United States of America",2021-10-08,120,"Convicted felon Jimmy gets early parole after serving twelve years for armed robbery. Upon his release, he vows to give Annie, his childhood love, now dying from cancer, the best last year of her life – unfortunately it’s not that simple."
‘Wife of a Spy’ Review: Trust or Fear in Love and War?,https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,"In this latest work by Kiyoshi Kurosawa, a Japanese couple’s relationship is shaped by the forces of churning nationalism that surround it.",The New York Times,"subject: Movies;persons: Kurosawa, Kiyoshi;creative_works: Wife of a Spy (Movie);",2021-09-16T11:00:07+0000,448,By Glenn Kenny,"firstname Glenn, middlename None, lastname Kenny, qualifier None, title None, role reported, organization , rank 1",,Wife of a Spy,688301,"Drama, War, Thriller","English, Japanese",Japan,2020-10-16,114,"It’s 1940, and the population of Japan is divided over its entry into World War II. Satoko, the wife of a fabric merchant, is devoted to her husband but is beginning to suspect he’s up to something. Soon she allows herself to be drawn into a game in which she enigmatically conceals her intentions."
‘Happier Than Ever’ Review: Modern Pop Meets Classic Hollywood,https://www.nytimes.com/2021/09/02/movies/happier-than-ever-review.html,"In the Disney+ concert film “Happier Than Ever: A Love Letter to Los Angeles,” the pop star Billie Eilish pays tribute to the star-struck hauntedness of that city.",The New York Times,"subject: Documentary Films and Programs;subject: Music;persons: Eilish, Billie;persons: Rodriguez, Robert;creative_works: Happier Than Ever: A Love Letter to Los Angeles (Movie);persons: Osborne, Patrick (Film Director);glocations: Los Angeles (Calif);",2021-09-02T11:00:07+0000,302,By Teo Bugbee,"firstname Teo, middlename None, lastname Bugbee, qualifier None, title None, role reported, organization , rank 1",,Happier Than Ever,229679,Drama,Portuguese,Brazil,1984-08-28,91,"During the military dictatorship, a political militant takes his son out of the boarding school, and puts him temporarily in a friend's luxury and empty apartment in Copacabana beach. The son knows very little about his father, and the latter cannot really explain his activities to his son, fearing for his security. So the young man stands alone in the huge apartment, waiting for the infrequent meetings with his father, without really knowing what's going on."
‘Together’ Review: Love and Loathing in London,https://www.nytimes.com/2021/08/26/movies/together-review.html,Sharon Horgan and James McAvoy play a battling couple trapped in lockdown in this theatrical pandemic drama.,The New York Times,"subject: Movies;creative_works: Together (Movie);persons: Daldry, Stephen;persons: McAvoy, James;persons: Horgan, Sharon (1970- );",2021-08-26T11:00:06+0000,412,By Jeannette Catsoulis,"firstname Jeannette, middlename None, lastname Catsoulis, qualifier None, title None, role reported, organization , rank 1",,Together,837548,"Drama, Comedy",English,United Kingdom,2021-08-27,87,A husband and wife are forced to re-evaluate themselves and their relationship through the reality of the Covid-19 lockdown.
‘Annette’ Review: Love Hurts,https://www.nytimes.com/2021/08/05/movies/annette-review.html,"Adam Driver and Marion Cotillard are star-crossed lovers in this hallucinatory musical, written by Sparks and directed by Leos Carax.",The New York Times,"subject: Movies;persons: Carax, Leos;persons: Cotillard, Marion;persons: Driver, Adam;persons: Mael, Ron;persons: Mael, Russell;creative_works: Annette (Movie);organizations: Sparks (Music Group);",2021-08-05T11:00:07+0000,1069,By A.O. Scott,"firstname A., middlename O., lastname Scott, qualifier None, title None, role reported, organization , rank 1",,Annette,424277,"Drama, Romance","English, French","Belgium, France, Germany, Greece, Japan, Mexico, Switzerland",2021-07-07,140,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives."
‘Resort to Love’ Review: A Struggling Singer in Paradise,https://www.nytimes.com/2021/07/29/movies/resort-to-love-review.html,"In this romantic comedy, a woman reeling from a failed engagement and a flailing career escapes to a glamorous island resort.",The New York Times,"subject: Movies;persons: Milian, Christina;creative_works: Resort to Love (Movie);persons: Tsuchida, Steven;",2021-07-29T11:00:07+0000,310,By Concepción de León,"firstname Concepción, middlename None, lastname de León, qualifier None, title None, role reported, organization , rank 1",,Resort to Love,785539,"Romance, Comedy",English,United States of America,2021-07-29,101,Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.
"‘Woodstock 99: Peace, Love and Rage’ Review: How a Festival Went Wrong",https://www.nytimes.com/2021/07/23/movies/woodstock-99-peace-love-and-rage-review.html,An HBO documentary examines a music festival that went so far off the rails that it defined an era.,The New York Times,"subject: Documentary Films and Programs;persons: Price, Garret;creative_works: Woodstock 99: Peace, Love and Rage (Movie);subject: Woodstock Music Festivals;",2021-07-23T11:00:05+0000,418,By Elisabeth Vincentelli,"firstname Elisabeth, middlename None, lastname Vincentelli, qualifier None, title None, role reported, organization , rank 1",,"Woodstock 99: Peace, Love and Rage",848562,"Documentary, Music",English,United States of America,2021-07-23,110,"Explore Woodstock 99, a three-day music festival promoted to echo unity and counterculture idealism of the original 1969 concert but instead devolved into riots, looting and sexual assaults."
"‘Casanova, Last Love’ Review: Reappraising a Philanderer",https://www.nytimes.com/2021/07/14/movies/casanova-last-love-review-reappraising-a-philanderer.html,Benoît Jacquot’s erotic costume drama envisions the Italian playboy as a weathered sad sack living in exile.,The New York Times,"subject: Movies;persons: Jacquot, Benoit;creative_works: Casanova, Last Love (Movie);",2021-07-14T22:12:43+0000,312,By Beatrice Loayza,"firstname Beatrice, middlename None, lastname Loayza, qualifier None, title None, role reported, organization , rank 1",,"Casanova, Last Love",504605,"Drama, Romance","English, French, German, Italian","Belgium, France, United States of America",2019-03-20,99,"Year 1763. Forced into exile, the famous libertine Giacomo Casanova leaves Paris and travels to London, where he meets Marianne de Charpillon, a young prostitute to whom he is so attracted that he forgets about the other women."
‘Running Against the Wind’ Review: Love and Friendship in Addis Ababa,https://www.nytimes.com/2021/07/08/movies/running-against-the-wind-review.html,Two childhood best friends reunite in this unfocused yet uplifting sports drama by the filmmaker Jan Philipp Weyl.,The New York Times,"subject: Movies;creative_works: Running Against the Wind (Movie);persons: Weyl, Jan Philipp;",2021-07-08T11:00:05+0000,342,By Beatrice Loayza,"firstname Beatrice, middlename None, lastname Loayza, qualifier None, title None, role reported, organization , rank 1",,Running Against the Wind,631831,Drama,Amharic,"Ethiopia, Germany",2023-07-20,112,"The film follows the fate of two boys, one of whom hopes to become an Olympic runner and the other a photographer."
‘Asia’ Review: Tough Love and an Indecent Proposal,https://www.nytimes.com/2021/06/10/movies/asia-review.html,This drama about a young single mother and a terminally ill daughter avoids sentimentalism but indulges heavily in dourness.,The New York Times,"subject: Movies;persons: Haas, Shira;persons: Pribar, Ruthy;persons: Yiv, Alena;",2021-06-10T11:00:15+0000,290,By Devika Girish,"firstname Devika, middlename None, lastname Girish, qualifier None, title None, role reported, organization , rank 1",,Asia,455207,"Comedy, Romance","Cantonese, Mandarin, English",United States of America,2018-08-15,121,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous."
‘Undine’ Review: Love In and Out of the Water,https://www.nytimes.com/2021/06/03/movies/undine-review.html,"Paula Beer and Franz Rogowski, who made an impression in 2019’s “Transit,” are reunited by the director Christian Petzold for this adaptation of a European myth.",The New York Times,"subject: Movies;persons: Petzold, Christian;persons: Rogowski, Franz;creative_works: Undine (Movie);persons: Beer, Paula (1995- );",2021-06-03T11:00:08+0000,535,By Glenn Kenny,"firstname Glenn, middlename None, lastname Kenny, qualifier None, title None, role reported, organization , rank 1",,Undine,615761,"Fantasy, Drama, Romance","English, German, Spanish","France, Germany",2020-07-01,90,"Undine is a historian and tour guide at the Berlin City Museum specializing in urban development, while Christoph is an industrial diver. Linked by a love of the water, the two form an intense bond, which can only do so much to help Undine overcome the considerable baggage of her former affair."
‘This Town’ Review: Love and Rifles,https://www.nytimes.com/2021/05/20/movies/this-town-review.html,This small-town comedy from New Zealand looks at the romance between a country girl and a man accused of killing his family.,The New York Times,"subject: Movies;creative_works: This Town (Movie);persons: White, David (Director);",2021-05-20T20:19:17+0000,287,By Devika Girish,"firstname Devika, middlename None, lastname Girish, qualifier None, title None, role reported, organization , rank 1",,This Town,673640,Comedy,English,New Zealand,2020-04-30,91,"Five years after being acquitted for the murder of his family, Sean (White) is finally ready to move on with life. But the bitter ex-cop (Malcolm) who led the investigation remains adamant that he's guilty - and will stop at nothing to bring him down."
‘Tu Me Manques’ Review: Traces of a Lost Love,https://www.nytimes.com/2021/04/22/movies/tu-me-manques-review.html,A conservative father who could not accept his son’s sexuality is led on a contemplative tour of queer life in New York in this Bolivian film.,The New York Times,"subject: Movies;creative_works: Tu Me Manques (Movie);persons: Martinez, Oscar (1949- );persons: Barbosa, Fernando (Actor);persons: Bellott, Rodrigo;glocations: Bolivia;",2021-04-22T11:00:07+0000,301,By Teo Bugbee,"firstname Teo, middlename None, lastname Bugbee, qualifier None, title None, role reported, organization , rank 1",,Tu Me Manques,612437,"Drama, Romance","English, Spanish","Bolivia, United States of America",2019-07-27,110,"Following his son Gabriel’s death, Jorge travels from conservative Bolivia to New York City to confront Gabriel’s boyfriend Sebastian. While the two battle over Jorge’s inability to accept his son, Sebastian channels his grief into a bold new play in honor of his lost love, in which Gabriel’s inner turmoil is transformed into an eye-popping gay fantasia."
‘Monday’ Review: A Year of Love and Its Hangovers,https://www.nytimes.com/2021/04/15/movies/monday-review.html,"Fiery physical contact keeps an expat couple together in Greece, and the sex scenes are enough for a half-dozen movies.",The New York Times,"subject: Movies;persons: Papadimitropoulos, Argyris;persons: Stan, Sebastian;persons: Gough, Denise (1980- );creative_works: Monday (Movie);",2021-04-15T11:00:08+0000,349,By Glenn Kenny,"firstname Glenn, middlename None, lastname Kenny, qualifier None, title None, role reported, organization , rank 1",,Monday,550524,"Drama, Romance","English, Greek","Greece, United Kingdom, United States of America",2020-09-11,116,"A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?"
‘Ride or Die’ Review: Killing for Love,https://www.nytimes.com/2021/04/15/movies/ride-or-die-review.html,"After upending her life, a woman runs away with her longtime crush in this puzzling Japanese drama.",The New York Times,"subject: Movies;creative_works: Ride or Die (Movie);persons: Hiroki, Ryuichi;",2021-04-15T11:00:03+0000,338,By Natalia Winkelman,"firstname Natalia, middlename None, lastname Winkelman, qualifier None, title None, role reported, organization , rank 1",,Ride or Die,573435,"Action, Crime, Thriller, Comedy",English,United States of America,2024-06-05,115,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves."
"‘Future People’ Review: Connected by Biology, Bonded by Love",https://www.nytimes.com/2021/04/09/movies/future-people-review.html,This documentary chronicles eight years in the lives of a group of children who form a bond after discovering they were conceived by the same sperm donor.,The New York Times,"subject: Documentary Films and Programs;creative_works: Future People: The Family of Donor 5114 (Movie);subject: ARTIFICIAL INSEMINATION;subject: Children and Childhood;persons: Rothman, Michael (Filmmaker);",2021-04-09T11:00:04+0000,317,By Natalia Winkelman,"firstname Natalia, middlename None, lastname Winkelman, qualifier None, title None, role reported, organization , rank 1",,Future People,816819,Documentary,English,United States of America,2021-04-09,102,"Filmed over eight years, Rothman follows a group of adolescents who discover that they were conceived from the same sperm donor, forming an unlikely family of familiar strangers. There are presently 37 half-siblings, and counting. This documentary explores the complexities of alternative conception while defining a new realm of modern family."
‘Luz’ Review: Love In and Out of Lockup,https://www.nytimes.com/2021/03/18/movies/luz-review.html,"In this romantic drama from Jon Garcia, two men find love in prison, then try to make it work on the outside.",The New York Times,"subject: Movies;creative_works: Luz (Movie);persons: Garcia, Jon (1979- );",2021-03-18T11:00:08+0000,296,By Teo Bugbee,"firstname Teo, middlename None, lastname Bugbee, qualifier None, title None, role reported, organization , rank 1",,Luz,633318,"Drama, Fantasy, Western, Horror",Spanish,Colombia,2019-10-07,104,"In the thickness of the mountains, in an isolated community led by a preacher known as El Señor, a presumed new Messiah is brought, unleashing a wave of violence and pain."
‘Happily’ Review: Does Long-Lived Love Mean You Need Treatment?,https://www.nytimes.com/2021/03/18/movies/happily-review.html,"In this keeps-you-guessing comedy, Joel McHale and Kerry Bishé play a couple married for 14 years whose mutual passion is undimmed, to the annoyance of their friends.",The New York Times,"subject: Movies;creative_works: Happily (Movie);persons: Grabinski, BenDavid;",2021-03-18T11:00:06+0000,344,By Glenn Kenny,"firstname Glenn, middlename None, lastname Kenny, qualifier None, title None, role reported, organization , rank 1",,Happily,673319,"Comedy, Romance, Science Fiction, Thriller",English,United States of America,2021-03-19,96,"Tom and Janet have been happily married for years. But a visit from a mysterious stranger leads to a dead body, a lot of questions, and a tense couples' trip with friends who may not actually be friends at all."
‘This Is the Life’ Review: A Valuable Part of Hip-Hop History,https://www.nytimes.com/2021/02/23/movies/this-is-the-life-review.html,"Ava DuVernay’s 2008 documentary, now streaming on Netflix, is a personal love letter to a slice of Los Angeles’s 1990s hip-hop scene.",The New York Times,"subject: Documentary Films and Programs;subject: Rap and Hip-Hop;persons: DuVernay, Ava;subject: Black People;subject: Blacks;glocations: California;glocations: Los Angeles (Calif);creative_works: This Is the Life (Movie);",2021-02-23T19:47:00+0000,470,By Robert Daniels,"firstname Robert, middlename None, lastname Daniels, qualifier None, title None, role reported, organization , rank 1",,This Is the Life,97399,"Documentary, Music",English,United States of America,2008-02-08,97,"In 1989, a collective of young hip hop artists gathered at a health food café in South Central Los Angeles. Their mandate? To reject gang culture and expand the musical boundaries of hip hop. DuVernay's documentary chronicles the historic legacy of the Good Life Cafe — the open mic nights that became an L.A. institution, the eclectic array of talented young MCs that emerged there, the alternative hip hop movement they developed, and their worldwide influence on the artform."
‘To All the Boys: Always and Forever’ Review: Love Sweet Love,https://www.nytimes.com/2021/02/11/movies/to-all-the-boys-always-and-forever-review.html,"This final installment of the Netflix rom-com trilogy is earnest, bright-eyed and without a hint of cynicism.",The New York Times,"subject: Movies;persons: Condor, Lana;persons: Fimognari, Michael;persons: Centineo, Noah;creative_works: To All the Boys: Always and Forever (Movie);",2021-02-12T02:00:03+0000,482,By Maya Phillips,"firstname Maya, middlename None, lastname Phillips, qualifier None, title None, role reported, organization , rank 1",,To All the Boys: Always and Forever,614409,"Romance, Comedy, Drama","English, Korean",United States of America,2021-02-12,115,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.
